ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
80850,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Centro Cultural de Tupi Paulista,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,SP,Tupi Paulista,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80850
80851,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Coronel Vasco Alves,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,RS,Alegrete,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80851
80853,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Comunitário e Centro de Cultura Bororo de Meruri,PRIVADA – Associação,Aberto,Clássico/Tradicional,Antropologia e arqueologia,MT,General Carneiro (Mato Grosso),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80853
80857,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu das Bonecas e Brinquedos,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,MT,Cuiabá,http://www.museudasbonecas.com.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80857
80859,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Museu Histórico Municipal João Rissatti,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Cafeara,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80859
80860,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Casa de Cultura Cristiano Câmara,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,CE,Fortaleza,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80860
80861,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Espaço Memória Amarílio Vieira de Macedo,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,Porto Alegre,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80861
80862,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Parque Estadual do Vale do Codó,PÚBLICA – Estadual/Distrital,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Ponta Grossa,http://www.iap.pr.gov.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80862
80863,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Parque Estadual Rio Negro Setor Norte,PÚBLICA – Estadual/Distrital,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,AM,Manaus,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80863
80864,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,- NÃO INFORMADO -,Parque Estadual do Mirador,PÚBLICA – Estadual/Distrital,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,MA,Mirador (Maranhão),http://www.sema.ma.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=80864
