ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
82037,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Centro de Memória do Tribunal Regional do Trabalho no Paraná,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,PR,Curitiba,http://www.trt9.jus.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82037
82046,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu do Recôncavo Wanderley Pinho,PÚBLICA – Estadual/Distrital,Fechado,Clássico/Tradicional,História,BA,Candeias (Bahia),http://www.ipac.ba.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82046
82047,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Ivorá/casa de Cultura Alberto Pasqualini,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Ivorá,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82047
82048,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico de Rio Pomba,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MG,Rio Pomba,http://www.riopomba.mg.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82048
82053,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico Emílio da Silva,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,SC,Jaraguá do Sul,http://www.jaraguadosul.sc.gov.br/museu-emilio-da-silva-apresentacao,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82053
82058,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Odontológico Doutora Grace Harriet Clark Alvarez,PRIVADA – Não informada,Fechado,Clássico/Tradicional,História,SP,Piracicaba,http://www.apcdpiracicaba.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82058
82059,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu dos Ex-votos de Sergipe,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,SE,São Cristóvão,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82059
82064,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Ciências Naturais - Universidade de Caxias do Sul,PRIVADA – Fundação,Aberto,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",RS,Caxias do Sul,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82064
82067,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Anton Eyng,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,SC,Forquilhinha,http://www.forquilhinha.sc.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82067
82068,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Centro Cultural da Vila Itoupava,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,SC,Blumenau,http://www.arquivodeblumenau.com.br/vilaitoupava.html,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82068
82071,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Gaúcho da Força Expedicionária Brasileira Marechal Mascarenhas de Moraes,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,São Gabriel (Rio Grande do Sul),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82071
82073,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Centro de Memória da Justiça Eleitoral (Maceió),PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,AL,Maceió,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82073
82077,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu de Odontologia Professor Doutor Geraldo Halfeld - Associação Brasileira de Odontologia/JF,PRIVADA – Associação,Aberto,Clássico/Tradicional,História,MG,Juiz de Fora,http://www.abojf.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82077
82080,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,- NÃO POSSUI -,Museu Histórico Aurélio Dolabella,PÚBLICA – Municipal,Fechado,Clássico/Tradicional,História,MG,Santa Luzia (Minas Gerais),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82080
