ID,Título,Status do Museu,Localização,Geolocalização manual
80284,Memorial do Ensino Agrícola Superior da Bahia - Universidade Federal do Recôncavo da Bahia,Aberto,"-12.6735557,-39.1016848",False
80286,Museu de Arqueologia e Etnologia Professor Oswaldo Rodrigues Cabral - MArquE/UFSC,Fechado,"-27.6023716948064,-48.523907661438",False
80287,Museu Histórico do Estado do Pará,Aberto,"-1.4556518,-48.5027974",False
80288,"Memorial do Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",Aberto,"-5.782575,-35.205361",False
80289,Museu da Comunicação Rodolfo Martensen,Aberto,"-32.032821,-52.094379",False
80290,Museu de Arqueologia de Itaipu,Aberto,"-22.971325,-43.04492",False
80291,Museu de Ciências Naturais da Universidade Federal do Paraná,Aberto,"-25.44703779348251,-49.23272115397046",False
80292,Museu Regional de Caeté,Aberto,"-19.896566,-43.670983",False
80293,Museu do Observatório Astronômico da Universidade Federal do Rio Grande do Sul,Aberto,"-30.0319935641957,-51.2218075990677",False
80294,Museu da Justiça Militar da União - Superior Tribunal Militar,Aberto,"-15.798838,-47.88006",False
80295,Museu Virtual Rio Memórias,Aberto,"-22.9046360156015,-43.1744509935379",False
80296,Museu do Homem do Nordeste,Aberto,"-8.030764,-34.924662",False
80297,Centro de Ciências e Planetário do Pará - Universidade do Estado do Pará,Aberto,"-1.378346,-48.4452322",False
80298,Observatório Sismológico - Mostra de Sismologia,Aberto,"-15.765164,-47.869916",False
80299,Museu Virtual da Faculdade de Medicina da Universidade Federal do Rio de Janeiro,Aberto,"-22.8412901,-43.2348184",False
80300,Museu de Ciências Nucleares - Universidade Federal de Pernambuco,Aberto,"-8.0581036,-34.9508091",False
80301,Museu da Cultura Popular Paraibana,Aberto,"-7.137578,-34.844512",False
80302,Centro de Documentação Histórica do Brasil Pesquisa da 2ª Guerra Mundial de 1939 à 1945 Altamira Pereira Valadares Cap. Ref. Enfermeira da Feb,Aberto,"-20.907741,-47.567966",False
80303,Museu Vivo Olho do Tempo,Aberto,"-7.2111775929843,-34.8781585693359",False
80304,Museu Histórico e Cultural Doutor Fernando José Freire de Andrade,Aberto,"-21.2579614180327,-48.4937274456024",False
80305,Estação Central Capiba - Museu do Trem do Recife,Aberto,"-8.05664294898658,-34.9004209041595",False
80306,Centro Regional de Arqueologia Ambiental Mario Neme,Aberto,"-23.194073,-49.385798",False
80308,Museu Agnano de Moura Monteiro Lopes - Tribunal de Justiça do Estado do Pará,Aberto,"-1.425514,-48.4520078",False
80309,Polo Astronômico Casimiro Montenegro Filho,Fechado,"-25.446827,-54.585094",False
80310,Memorial J. Borges,Aberto,"-8.2417352,-35.750103",False
80311,Museu de Arte de Londrina,Aberto,"-23.3094685657522,-51.1594462394714",False
80312,Associação Parcel Centro de Educação Ambiental e Museu Marinho Didático Itinerante,Aberto,"-23.8840522757489,-46.1907076835632",False
80313,Zoológico Bosque Guarani,Aberto,"-25.534111,-54.588468",False
80314,"Museu Ovídio Antônio Pires - Instituto Cultural, Científico e Ecológico Ovídio Antônio Pires",Fechado,"-21.910659,-44.255947",False
80315,Museu Artístico e Histórico de Itabaiana Antonio Nogueira,Aberto,"-10.6888900027532,-37.4246102571487",False
80316,Museu da Periferia do Sítio Cercado,Aberto,"-25.535712,-49.2781576",False
80317,Memorial da Universidade Federal Rural de Pernambuco,Aberto,"-8.014239,-34.950787",False
80318,Memorial do Bordado Maria Arte e Ofício,Fechado,"-19.9417481,-43.9257376",False
80319,Museu Histórico de Rio Vermelho,Aberto,"-18.2932943731997,-43.0101442337036",False
80320,Museu Histórico Fernando Toco,Aberto,"-19.939423,-43.47594",False
80321,Museu Georges Bernanos,Fechado,"-21.216821,-43.755018",False
80322,Memorial da Justiça do Trabalho da 8ª Região – Juiz Arthur Francisco Seixas dos Anjos,Aberto,"-1.4383229,-48.4879291",False
80323,Museu de Arte Sacra Iria Josepha da Silva,Aberto,"-21.469826,-47.00195",False
80324,Museu Sanitário São Roque,Aberto,"-25.4501337034034,-49.0955400466919",False
80325,Casa de Cultura Professor Galeno Edgar Brandes,Fechado,"-5.50812943810038,-45.2476000785828",False
80326,Museu Genealógico e Histórico/centro Cultural Dona Joaquina do Pompéu,Aberto,"-19.8680616,-43.7718761",False
80327,Museu da Gastronomia Baiana,Aberto,"-12.928396,-38.47634",False
80328,Museu de Arte da Bahia - MAB,Aberto,"-12.993516,-38.526017",False
80329,Museu de Arte Sacra de Oeiras,Aberto,"-7.01578,-42.131032",False
80330,Museu Histórico da Lapa,Aberto,"-25.768102727163296,-49.71713662147522",False
80332,Parque Estadual de Amaporã,Aberto,"-23.094741,-52.787098",False
80333,Acervo Municipal de Arapongas,Fechado,"-23.406472,-51.429384",False
80334,Centro Regional de Cultura Rio Pardo - Memorial do Exército,Aberto,"-29.988523,-52.371658",False
80335,Museu do Instituto de Previdência do Rio Grande do Sul,Fechado,"-30.0437225,-51.2290355",False
80336,Museu de Florianópolis,Aberto,"-27.5980836259699,-48.549656867981",False
80337,Museu Municipal de Dom Feliciano,Aberto,"-30.6639034374516,-52.130126953125",False
80339,Museu da Universidade Federal do Rio Grande do Sul - UFRGS,Aberto,"-30.032000543309536,-51.219798649723536",False
80340,Museu Técnico Científico do Instituto Oscar Freire (Universidade de São Paulo),Fechado,"-23.554662,-46.672618",False
80341,Fundação Eva Klabin Rapaport,Aberto,"-22.975821,-43.198505",False
80342,Museu Goiano Zoroastro Artiaga,Aberto,"-16.663272,-49.261328",False
80343,Museu Indígena da Aldeia Pataxó,Aberto,"-16.282996,-39.029864",False
80344,Pinacoteca Municipal de Bauru - Casa Ponce Paz,Aberto,"-22.3202147183794,-49.0705847740173",False
80345,Acervo Gaviões da Fiel - Tia Geni,Aberto,"-23.5197055,-46.6452852",False
80346,Museu Municipal Eduardo de Lima e Silva Hoerhann,Aberto,"-27.0572456,-49.5164732",False
80347,Memorial Carlos Chagas,Aberto,"-17.8895316,-44.5815648",False
80348,Museu Oceanográfico da Marinha,Aberto,"-22.969694407265,-42.0209455490112",False
80349,Casa da Arte,Aberto,"-9.66067,-35.739955",False
80350,Solar Grandjean de Montigny - Museu Universitário da Pontifícia Universidade Católica-Rio,Aberto,"-22.978145,-43.233422",False
80351,Museu de História do Pantanal,Aberto,"-18.997429,-57.65436",False
80352,Museu Municipal General Honório Lemes,Aberto,"-30.256993,-54.9184",False
80353,Museu Histórico e Arqueológico de Conceição dos Ouros,Aberto,"-22.408332,-45.800042",False
80354,Cinemateca Paraense - Universidade Federal do Pará,Aberto,"-1.453948,-48.4972507",False
80355,Museu de História e Tecnologia do Algodão,Aberto,"-7.2284187,-35.8847538",False
80356,Museu Formosa do Sul,Aberto,"-26.645895643921,-52.7917152643204",False
80357,Museu Ferroviário (Conselheiro Lafayete),Aberto,"-20.656053,-43.801924",False
80358,Museu Xingu,Aberto,"-23.5672206,-46.6589516",False
80359,Museu da Cachaça - Paty do Alferes,Aberto,"-22.41466,-43.426746",False
80360,Museu da Fazenda Federal,Aberto,"-22.908167,-43.172869",False
80361,Museu da Cidade de São Paulo - Capela do Morumbi,Aberto,"-23.612489,-46.713094",False
80362,Museu e Cripta de Epitácio Pessoa,Aberto,"-7.121604,-34.883743",False
80363,Museu Municipal da Preservação Ferroviária das Estradas de Ferro São Paulo e Minas e Mogiana Alberto de Oliveira,Aberto,"-21.4875744872713,-47.5539779663086",False
80364,Jardim Botânico da Universidade Federal Rural do Rio de Janeiro,Aberto,"-22.7690305,-43.6869836",False
80365,Museu Histórico do Degredo Martins Carapina,Fechado,"-19.3262572,-39.8597824",False
80366,Museu Histórico Cultural de São José do Alegre,Aberto,"-22.329355331491,-45.5245542526245",False
