ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
83509,Rua Arlindo Geis,205,,Centro,95650000,Igrejinha,RS,"-29.5676896,-50.7947935",False
83510,Rua Tibiriçá,776,,Centro,14010-090,Ribeirão Preto,SP,"-21.1778639,-47.8114915",False
83511,Rua Vereador José Ribeiro de Souza-Ramos,s/n,,Pirapó,86818-00,Apucarana,PR,"-23.5624459,-51.4267235",False
83512,Avenida Athos da Silveira Ramos,149,CT Bloco A sala 418,Cidade Universitária,21941-972,Rio de Janeiro,RJ,"-22.8612544,-43.2302761",False
83513,Rua Vereador Simão Ferreira Alves,11,,Jardim Primavera,13800-000,Mogi Mirim,SP,"-22.4458788,-46.9551015",False
83514,Rua Benjamin Constant,900,,Centro,86010-350,Londrina,PR,"-23.308668,-51.159298",False
83515,Praça Gonçalves Dias,351,,Centro,65042-240,São Luís,MA,"-2.5235379,-44.2956569",False
83516,Praça Governador Benedito Valadares,141,,Centro,37002-020,Varginha,MG,"-21.5533685224979,-45.4325866699219",False
83517,Rua Eurico Cavalcante de Albuquerque,s/n,Alameda do Boldró,Boldró,53990-000,Fernando de Noronha,PE,"-3.84924149998825,-32.4259650707245",False
83518,Quebra-Mar,s/n,,Praia do José Menino,11015-400,Santos,SP,"-23.950962,-46.323907",False
83519,Rua Gomes Carneiro,01,,Centro,90010-610,Pelotas,RS,"-31.7819559,-52.32330169999999",False
83520,Rua Mariz e Barros,273,sala 313,Praça da Bandeira,20270-003,Rio de Janeiro,RJ,"-22.9137131640008,-43.2167557999492",False
83521,Rua Doutor Salomão Pires Abrahão,160,Junto ao CTG Madrugada Campeira,Arquipélago - Ilha da Pintada,90090-060,Porto Alegre,RS,"-30.0157489,-51.2609571",False
83522,Rua Coronel Luiz Guedes de Amorim,01,Largo do Rosário,Carmo,76600-000,Goiás,GO,"-15.9311032295329,-50.1403617113829",False
83523,Avenida Fernando Ferrari,514,,Campus de Goiabeiras,29075-910,Vitória,ES,"-20.2775638,-40.3036012",False
83524,Rua 23 B,s/n,,Vila Santa Cecília,27180-000,Volta Redonda,RJ,"-22.5186522396307,-44.1066336259246",False
83525,Rua Vereador José Ribeiro de Souza-Ramos,s/n,,Pirapó,86818-000,Apucarana,PR,"-23.5624459,-51.4267235",False
83526,Rua Presidente Pedreira,78,,Ingá,24210470,Niterói,RJ,"-22.903908,-43.125386",False
83527,Rua Luiz Antunes,312,,Panazzolo,95080-000,Caxias do Sul,RS,"-29.1763522,-51.1806299",False
83528,Rua União da Vitória,2283,Parque de Exposições Jayme Canet Junior,Miniguaçu,85605-040,Francisco Beltrão,PR,"-26.069028,-53.0357256",False
83529,Rua Vereador José Ribeiro de Souza-Ramos,s/n,Praça Estação,Pirapó,86818-000,Apucarana,PR,"-23.5624459,-51.4267235",False
83530,Avenida Salime Nacif,s/n,,Baixada,36900-000,Manhuaçu,MG,"-20.2502359,-42.0311325",False
83531,Rua Ernesto Novaes de Souza,1032,próximo ao Supermercado Boniatti e Prefeitura,Centro,85440-000,Ubiratã,PR,"-24.5384371,-52.9906812",False
83532,Praça da Liberdade,247,,Centro,25685-050,Petrópolis,RJ,"-22.5101336317008,-43.1829911470413",False
83533,Rua Jacinto Maia,43,,Praia Grande,65010-280,São Luís,MA,"-2.533347,-44.30358",False
83534,Rua Nove de Julho,150,,Centro,16300-000,Penápolis,SP,"-21.415905,-50.078525",False
83535,Avenida do Café,s/n,Campus da USP,Monte Alegre,14040-010,Ribeirão Preto,SP,"-21.174257,-47.818689",False
83536,Avenida Ernani Kroeff Fleck,521,Sala 01,Centro,95680-000,Canela,RS,"-29.3622679,-50.8297434",False
83537,Rua Marília,s/n,Parque Ambiental Irmão Cirilo,Padre Ulrico,85604-400,Francisco Beltrão,PR,"-26.0478959918639,-53.0363917350769",False
83538,Largo General Osório,66,,Santa Efigênia,01213-010,São Paulo,SP,"-23.5343828425951,-46.6389983519912",False
83539,Rua da Graça,160,,Bom Retiro,01125-000,São Paulo,SP,"-23.5297566,-46.6385586",False
83540,Avenida Professor Doutor Orlando Marques de Paiva,87,,Butantã,05508-270,São Paulo,SP,"-23.566173,-46.739479",False
83541,Avenida Salgado Filho,s/n,"Centro de Biociências, Museu de Ciências Morfológicas,Campus Universitário",Campus Universitário Lagoa Nova,59072-970,Natal,RN,"-5.8528269,-35.2108449",False
83542,Avenida Antônio Paulino,47,,Centro,37566-000,Espírito Santo do Dourado,MG,"-22.046572,-45.9516065",False
83543,Avenida Perimetral da Ciência,2222,Esquina da Travessa Barão do Triunfo,Marco,66095-780,Belém (Pará),PA,"-1.4461793499386888,-48.4471321105957",False
83544,Eixo Monumental Oeste,s/n,Praça do Buriti (em frente ao Memorial JK),Zona Cívico-Administrativa,70070-300,Brasília,DF,"-15.784902838761,-47.911447355970566",False
83545,Rua Vidal Ramos,632,,Centro,89460-044,Canoinhas,SC,"-26.173437,-50.390976",False
83546,Rua da Consolação – São Paulo – SP,1024,,Consolação,01302-000,São Paulo,SP,"-23.5484564,-46.6512235",False
83547,Rua São Francisco,s/n,,Centro,57160-000,Marechal Deodoro,AL,"-9.71014,-35.897062",False
83548,Avenida Trabalhador São Carlense,400,,Centro,13556-590,São Carlos (São Paulo),SP,"-22.003695,-47.89615",False
83549,Rodovia Canindé/Piranhas,s/n,Trevo da UHE – Xingó,Trevo da UHE-Xingó,49820-000,Canindé de São Francisco,SE,"-9.658017,-37.799688",False
83550,Largo de Santo Antônio Além do Carmo,02,,Santo Antônio Além do Carmo,40301-330,Salvador,BA,"-12.963717146484795,-38.50389897823334",False
83551,Folha 17 Quadra 4 lote especial,s/n,,Nova Marabá,68508-030,Marabá,PA,"-5.3393798,-49.0883656",False
83552,Rua Coronel Quirino,2,,Bosque,13025-000,Campinas,SP,"-22.905796,-47.050232",False
83553,Avenida Líbero Indiani,550,,Distrito de Quiririm,12043-270,Taubaté,SP,"-23.025398,-45.6311819",False
83554,Rua Professor Laurindo Vier,3311,,Centro,93995-000,Santa Maria do Herval,RS,"-29.4967821563381,-50.9931921958923",False
83555,Zona Cívico-Administrativa Praça do Cruzeiro,s/n,Eixo Monumental,Lado Oeste,70070-300,Brasília,DF,"-15.7848615417629,-47.9130721092224",False
83556,"Rua Jorge Dumar, até 2379/2380",1703,,Jardim América,60410-426,Fortaleza,CE,"-3.7532604,-38.539514",False
83557,Praça Rui Barbosa,250,,Centro,38010-240,Uberaba,MG,"-19.7495012,-47.9363923",False
83558,rua dos ferroviários,118,,Cabreúva,79008-420,Campo Grande (Mato Grosso do Sul),MS,"-20.456745,-54.621072",False
83559,Rua Rui Barbosa,s/n,,Centro,84900-000,Ibaiti,PR,"-23.8508419,-50.1885733",False
83560,Rodovia BR 482,1458,,Gigante,36402-115,Conselheiro Lafaiete,MG,"-20.6578039,-43.7673255",False
83561,"Tribunal Regional do Trabalho, Avenida Getúlio Vargas, 265",225,Saguão,Funcionários,30112-900,Belo Horizonte,MG,"-19.9332491,-43.926132",False
83562,Rua Cândido Mendes,s/n,,Centro,68900-100,Macapá,AP,"0.032258,-51.050521",False
83563,Rua Clóvis Hugney,239,2º andar - Seminário Nossa Senhora da Conceição,Dom Aquino,78015-325,Cuiabá,MT,"-15.6025389,-56.0955604",False
83564,Avenida Otto Renaux,285,,São Luiz,88351-301,Brusque,SC,"-27.088729,-48.912314",False
83565,Rua Paes Leme,63,Atrás da EEB Feliciano Pires,Centro,88350-220,Brusque,SC,"-27.095129,-48.912223",False
83566,Avenida Rui Barbosa,215,TRE/RN 1ª Andar,Tirol,59015-29,Natal,RN,"-5.8101447,-35.2006225",False
83568,Rua Voluntários da Pátria,596,,Santana,02011-000,São Paulo,SP,"-23.515549,-46.6266",False
83569,Rua Mateus Leme,38,Largo da Ordem,Centro Histórico,80510-190,Curitiba,PR,"-25.4273542,-49.271776",False
83570,Rua Governador Fernando Costa,343,,Ponta da Praia,11010-000,Santos,SP,"-23.985265,-46.297323",False
83571,Avenida 17 esquina com Rua 16,311,,Centro,14780-290,Barretos,SP,"-20.557147,-48.563911",False
83572,Rua Ana Néri,152,,Benfica,20911-440,Rio de Janeiro,RJ,"-22.898595,-43.237505",False
83573,Praça Josino Ferreira,404,,Centro,64600-096,Picos,PI,"-7.090397,-41.470301",False
83574,Sítio Córrego de Santo Antônio,s/n,Distrito de Barra Alegre,Distrito de Barra Alegre,28666-00,Bom Jardim (Rio de Janeiro),RJ,"-22.9139476,-43.2093973",False
83575,Avenida Engenheiro Ildefonso Simões Lopes,531,,COHAB Tablada,96060-290,Pelotas,RS,"-31.7340594,-52.3257513",False
83576,Rua Lopes Chaves,546,,Barra Funda,01154-010,São Paulo,SP,"-23.5307109,-46.6602683",False
83577,Avenida Thomé Portes Del Rey,925,,Jardim Ana Emília,12070-610,Taubaté,SP,"-23.012206,-45.538172",False
83578,Avenida Conde da Boa Vista,1424,"Ed. AIP, MIP",Soledade,50060-001,Recife,PE,"-8.05617022777282,-34.8933398723602",False
83579,Praça do Rosário,s/n,,Centro,57600-470,Palmeira dos Índios,AL,"-9.413335,-36.62794",False
83580,Praça Coronel Pedro Osório,103,,Centro,96015-010,Pelotas,RS,"-31.7700069630957,-52.3421716690063",False
83581,Avenida Beira Mar,s/n,,Praia Grande,65020-720,São Luís,MA,"-2.5244933000978,-44.2997288703918",False
83582,Rua Raimundo Medeiro de Souza,89,,Vereador Vicente Alves,59340-000,São Vicente (Rio Grande do Norte),RN,"-6.2169759,-36.6841392",False
83584,Praça dos colonizadores,s/n,,Centro,78575-000,Juara,MT,"-11.2535637425505,-57.5080139469355",False
83585,Rua Sete de Setembro,227,,Centro,85170-000,Pinhão (Paraná),PR,"-25.6933680419576,-51.6623604297638",False
83586,Rua Olinda Wattes,s/n,,Centro,99920-000,Erebango,RS,"-27.8548758,-52.300996",False
83587,Rua Elmiro Timbo,137,,Caixa D'Água,62270-000,Hidrolândia (Ceará),CE,"-4.4102882,-40.407281",False
83588,"Sítio São João, Chã do Esconso Aliança",30,,Chã do Esconso,55890-000,Aliança,PE,"-7.610104971878291,-35.2137565612793",False
83589,Avenida Alfredo Lisboa,505,,Recife,50030-150,Recife,PE,"-8.0607062,-34.8704034",False
83590,Rua Padre Alziro Roggia,115,,Patronato,97020-001,Santa Maria (Rio Grande do Sul),RS,"-29.701404,-53.826662",False
83591,Lago da Perucaba,s/n,,Zélia Barbosa Rocha,57300-000,Arapiraca,AL,"-9.75564799926302,-36.6764831542969",False
83592,Avenida Fernandes Bastos,30,TÉRREO,Centro,95590-000,Tramandaí,RS,"-29.983293,-50.133561",False
83593,Rua Ceará,65,Parque Cachoeira,Iguaçu,83701-400,Araucária,PR,"-25.594229,-49.391367",False
83594,Rua Barão do Amazonas,35,,Centro,25685-070,Petrópolis,RJ,"-22.419201,-43.1299669",False
83595,Rua Mario Lima,100,,Centro,35488-000,Itaguara,MG,"-20.3923371,-44.4861937",False
83596,Praça 23 de Outubro,s/n,,Jardim Chapadão,13070-131,Campinas,SP,"-22.890033,-47.076702",False
83597,Rua Padre Anchieta,344,,Matriz,89560-000,Videira,SC,"-27.008048,-51.151407",False
83598,Rua Francisca Costa Cunha DomTita,570,Esquina com a Avenida República do Líbano,Setor Aeroporto,74075-300,Goiânia,GO,"-16.6675283,-49.2692842",False
83599,Rua José Sobrinho,52,,Vila Sobrinho,79110-020,Campo Grande (Mato Grosso do Sul),MS,"-20.4571120845098,-54.6361899375916",False
83600,Rua Getúlio Vargas esquina com a Rua Dom Pedro I,622,,Interlagos,85950-000,Palotina,PR,"-24.2849396,-53.8428617",False
83601,Avenida Getúlio Vargas,s/n,,Centro,58400-052,Campina Grande,PB,"-7.21724461719753,-35.8914206922054",False
83602,Rua da Cascata,s/n,,Feitoria Nova,93900-000,Ivoti,RS,"-29.583066,-51.155917",False
83603,Avenida do Trabalhador,140,,Centro,13840-057,Mogi Guaçu,SP,"-22.3740721,-46.9412755",False
83604,Rua Ouro,20,,Morro Santana - Gogô,35423-030,Mariana,MG,"-20.3503999,-43.4381248",False
83605,Rua Senador Pompeu,502,,Centro,63100-080,Crato,CE,"-7.233835,-39.412023",False
83606,Avenida Rui Barbosa,320,Anexo Ministro Djaci Falcão,Graças,52011-040,Recife,PE,"-8.049058,-34.898527",False
83607,Rua da Estrela,309,Praia Grande,Centro Histórico,65010-440,São Luís,MA,"-2.5306113,-44.3055593",False
83608,Avenida Getúlio Vargas,17N,,Centro,89890-000,Chapecó,SC,"-27.1045339,-52.6146266",False
83609,Cruz Caída,s/n,Praça da Sé,Pelourinho,40020-210,Salvador,BA,"-12.9732756,-38.5117954",False
83610,Rua C,s/n,Centro Político Administrativo,CPA,78049-926,Cuiabá,MT,"-15.5857906,-56.0272237",False
83611,Rua Doutor Claudino dos Santos,49,,São Francisco,80020-170,Curitiba,PR,"-25.4276985,-49.2725078",False
83612,Praça J J Seabra S/N,s/n,,Centro,45650-000,Ilhéus,BA,"-14.7980841,-39.0340926",False
83613,Linha Tres Pontes/BR 282,49 3441 8566,Parque Rovilho Bortoluzzi- FEMI,FEMI,89820-000,Xanxerê,SC,"-26.889389,-52.4384159",False
83615,Cachoeira da Fumaça,s/n,Zona Rural,Distrito de Araraí,29500-000,Alegre,ES,"-20.6306957,-41.6043233",False
83616,Avenida Benjamin Constant,1633,,Centro,13010-142,Campinas,SP,"-22.901611,-47.057267",False
83617,Rua Aubé,s/n,,Boa Vista,89202-000,Joinville,SC,"-26.308891,-48.834089",False
83618,Praça Floriano Peixoto,44,,Centro,57020-090,Maceió,AL,"-9.659495,-35.738727",False
83619,Rua Marechal Hermes,999,,Centro Cívico,80530230,Curitiba,PR,"-25.4102283,-49.2661342",False
83620,Rua Itajaí,2195,,Vorstadt,89015-200,Blumenau,SC,"-26.912309,-49.050568",False
83621,Rua da Hortas,327,,Centro,65020-270,São Luís,MA,"-2.5278208,-44.295299",False
83622,Rua Saldanha Marinho,196,Centro,Centro,88035-901,Florianópolis,SC,"-27.5980247,-48.5484036",False
83623,Rua Visconde do Rio Branco,604,,Centro,95940-00,Arroio do Meio,RS,"-29.4022775,-51.94521",False
83624,Av Getulio Vargas n°17N,17N,,Centro,89802-010,Chapecó,SC,"-27.1045339,-52.6146266",False
83625,Avenida Rui Barbosa,197,,Centro,27910-361,Macaé,RJ,"-22.3715883,-41.7778543",False
83626,Avenida Baltazar de Oliveira Garcia,4879,Casa,Rubem Berta,91180-001,Porto Alegre,RS,"-30.01377435,-51.0965456790564",False
83628,Avenida Rondon Pacheco,6400,,Tibery,38405-142,Uberlândia,MG,"-18.8965316,-48.2542052",False
83629,Rua Vanderlei Almeida,1010,,Parque Serrano Dois,97185-000,Itaara,RS,"-29.6016704439671,-53.7730430066586",False
83630,Rua Duque de Caxias,973,,Centro Histórico,90010-282,Porto Alegre,RS,"-30.03357895,-51.2318466495233",False
83631,Praça Eduardo Rocha Pinto,50,,Centro,36606-000,Guarará,MG,"-21.7252834,-43.0413869",False
83632,Rua Presidente Roosevelt,s/n,,Centro,19160-000,Álvares Machado,SP,"-22.0782122,-51.4741472",False
83633,AvenidaGaldino do Valle,01,,Centro,28625-010,Nova Friburgo,RJ,"-22.2883622,-42.5341312",False
83634,Avenida Getúlio Vargas,667,,Centro,89251-000,Jaraguá do Sul,SC,"-26.4812685,-49.0826372",False
83635,Rua Estado de Israel,509,,Vila Clementino,04022-002,São Paulo,SP,"-23.5947324,-46.6446957",False
83636,Praia do Flamengo,158,Esquina com Dois de Dezembro,Flamengo,22210-030,Rio de Janeiro,RJ,"-22.930226,-43.174509",False
83637,Rua Matias de Souza Fontes,110,Povoado Ilha do Ferro,Zona Rural,57400-000,Pão de Açúcar,AL,"-9.74733697513719,-37.4337244033813",False
83638,Rua Sebastião Silvestre Neves,s/n,,Centro,11600-000,São Sebastião (São Paulo),SP,"-23.804023,-45.400708",False
83639,Avenida Doutor Rubião Júnior,491,Mercado Municipal,Centro,12490-000,São Bento do Sapucaí,SP,"-22.6878736,-45.7329014",False
83640,Governador Argemiro de Figueiredo,210,Caixa postal: 192,Jardim Oceania,58037-030,João Pessoa,PB,"-7.0951821,-34.8343682",False
83641,,,,,72035-503,Brasília,DF,"-15.8662415640666,-48.0335998535156",False
83642,Rua Luiz Furian,1134,,Rio Branco,98270-000,Pejuçara,RS,"-28.42874,-53.658384",False
83643,Rua São Pedro,40,,Centro,65608-160,Caxias,MA,"-4.8634721,-43.3454482",False
83644,Rua Adail Valim,39,Centro Cultural Dr. Santo Bornéo,Centro,95480-000,Cambará do Sul,RS,"-29.047907,-50.147012",False
83645,Rua Marquês de Pombal,128,,Cidade Nova,20230-240,Rio de Janeiro,RJ,"-22.90903,-43.194799",False
83646,Rua Professor Valdivino,48 C1,Boca da Barra de Sabiaguaba,Sabiaguaba,60833-120,Fortaleza,CE,"-3.773746,-38.435816",False
83647,Rua José Rodrigues da Silva,647,,Parque Industrial Yukimitsu Uemura,86828-000,Mauá da Serra,PR,"-23.903680777075852,-51.2203323841095",False
83648,SIG - Quadra 06,s/n,Lote 800,Setor de Indústrias Gráficas,70610-460,Brasília,DF,"-15.791607,-47.911786",False
83649,Rua Santa Cruz,325,,Vila Mariana,04121-000,São Paulo,SP,"-23.596443,-46.633444",False
83650,Setor Policial Sul - Área 5,s/n,Quadra 1 - Bloco A,Asa Sul,70610-905,Brasília,DF,"-15.8281432,-47.9352507",False
83651,Rua Roberto Simonsen,136 B,,Centro,01017-020,São Paulo,SP,"-23.54981,-46.631929",False
83652,Avenida Coronel Loyola,127,,Centro,49480-000,Simão Dias,SE,"-10.7366498407992,-37.8098666667938",False
83655,Avenida Athos da Silveira Ramos,274,Centro de Ciências Matemáticas e da Natureza,Cidade Universitária - Ilha do Fundão,21941-916,Rio de Janeiro,RJ,"-22.857471518864,-43.232274055481",False
83657,Rua das rosas,s/n,,Vila Nova,88965-000,Santa Rosa do Sul,SC,"-29.0952896,-49.8139322",False
83658,Rua 07 de Setembro,2045,,Centro,89900-000,São Miguel do Oeste,SC,"-26.724703,-53.51678",False
83659,Praça Doutor José Wanderley,62,,Nações,38760-000,Serra do Salitre,MG,"-19.1129664,-46.6875343",False
83660,Rua Jornalista Costa Rego,99,,São Conrado,22610-150,Rio de Janeiro,RJ,"-22.9980584,-43.2723925",False
83661,Largo dos Padeiros,s/n,,Distrito de Paranapiacaba,09150-230,Santo André (São Paulo),SP,"-23.77908105216816,-46.302984952926636",False
83662,Travessa dos Andradas,886,Paracuri,Agulha (Icoaraci),66811-010,Belém (Pará),PA,"-1.30918426599152,-48.4800736606121",False
83663,"Rodovia Fausto Santomauro, km 3",s/n,Avenida 1 Assistência,Assistência,13500-000,Rio Claro (São Paulo),SP,"-22.4580029,-47.5734332",False
83664,Orla Prefeito Luíz Paulo Conde (Orla Conde),s/n,Atrás do CCBB,Praça XV,20091-000,Rio de Janeiro,RJ,"-22.9006482030435,-43.1749176979065",False
83665,Rua Mauro Pinheiro,150,,Vila Ferroviária,14802-355,Araraquara,SP,"-21.775246,-48.1706373",False
83667,Rua São Francisco Xavier,524,,Maracanã,20550-000,Rio de Janeiro,RJ,"-22.9111739,-43.2361323",False
83668,Rua Armando Salles de Oliveira,261,,Vila Maria,18611-356,Botucatu,SP,"-22.8742948,-48.4361366",False
83669,Rua Engenheiro Schamber,686,,Centro,84010-260,Ponta Grossa,PR,"-25.096442,-50.158681",False
83670,Rua Washington Barreto,37,,Centro,39270-000,Pirapora,MG,"-17.3494999,-44.9502634",False
83671,Rua 5 de abril,s/n,Palacete Augusto Dias,Marabá Pioneira,68500-040,Marabá,PA,"-5.3496037,-49.1359342",False
83672,Rua Vital Brazil,45,Casa,Centro,37400-000,Campanha,MG,"-21.8335094,-45.3983932",False
83673,BR 104 – SEDE DO CAMPUS V DA UNIVERSIDADE ESTADUAL DE ALAGOAS,s/n,,Roberto Correia de Araújo,57800-000,União dos Palmares,AL,"-9.169683,-36.024695",False
83674,Avenida Konrad Adenauer,355,Parque Municipal Rudolfo Arno Goldhardt,Centro,98280-000,Panambi,RS,"-28.2934511,-53.5063995",False
83675,Praça José Teixeira de Moraes,s/n,,Vila Nunes,37810-000,Guaranésia,MG,"-21.3018037,-46.7984919",False
83676,Rua Vigário João Batista,157,,Centro,54505-470,Cabo de Santo Agostinho,PE,"-8.29015218024933,-35.0390428304672",False
83678,Rua do Forte,s/n,,Ponta D’Areia,65077-556,São Luís,MA,"-2.5053286178408465,-44.31775331497192",False
83679,Rua do Forte,s/n,,Ponta D’Areia,65077-556,São Luís,MA,"-2.5054358036466025,-44.31775331497192",False
83680,Distrito de Nova Teutônia,s/n,,Interior,89770-000,Seara,SC,"-27.156917,-52.299559",False
83681,Praça Geraldo Costa,197,,Centro,12120-000,Tremembé,SP,"-22.9637081087917,-45.5490374565125",False
83682,SHTN - Setor de Hotéis e Turismo Norte,s/n,Pólo 3 – Lote 5,Asa Norte,70800-200,Brasília,DF,"-15.7878555523179,-47.8333353996277",False
83683,Rua Prudente de Morais,48,,Centro,84600-125,União da Vitória,PR,"-26.230234,-51.0849",False
83684,Rua Francisco Lima,12,Casa da Cultura Aluízio Barbosa Martins,Centro,33200-304,Vespasiano,MG,"-19.6891727,-43.9226693",False
83685,Avenida Oliveira Rezende,509,,Braz,37950-000,São Sebastião do Paraíso,MG,"-20.915294,-46.998966",False
83686,Rua Francisco Lima,12,,Centro,33200-304,Vespasiano,MG,"-19.7333431,-43.9341408",False
83687,Estrada do Castelo,s/n,Castelo Garcia D'Ávila,Praia do Forte,48287-000,Mata de São João,BA,"-12.5791408505415,-38.0305373668671",False
83689,Avenida Marechal Floriano,80,2° Andar,Centro,20080-001,Rio de Janeiro,RJ,"-22.901635,-43.184202",False
83690,Rua Professor Félicio Savastano,s/n,,Vila Industrial,12220-270,São José dos Campos,SP,"-23.1820943,-45.859609",False
83691,Adro de São Francisco,s/n,,Saúde,20081-290,Rio de Janeiro,RJ,"-22.8976757,-43.1837807",False
83692,Avenida Bento Gonçalves,2460,,Partenon,90650-001,Porto Alegre,RS,"-30.060287867890896,-51.18872942402959",False
83693,Praça Raul Braz de Oliveira,s/n,,Centro,84130-000,Palmeira (Paraná),PR,"-25.426203,-50.007515",False
83694,Rua Manoel Leite de Moura,s/n,Praça Padre Cícero,Luzia Leite,63260-000,Brejo Santo,CE,"-7.4895383,-38.987714",False
83695,Rua Barão de Jeremoabo,s/n,Campus Universitário,Ondina,40170-290,Salvador,BA,"-13.0011709,-38.5094684",False
83696,"Rua Tiradentes, Esquina com a Rua Pedro Ludovico",180/262,Praça Velha,Nossa Senhora da Piedade,76550-000,Porangatu,GO,"-13.45484,-49.138583",False
83697,Barrinha de Baixo,s/n,Zona Rural,Distrito de Aranaú,62580-000,Acaraú,CE,"-2.81732923133827,-40.3531050682068",False
83698,Rua Mestre Olímpio,135,,Centro,38140-000,Prata (Minas Gerais),MG,"-19.3081057681024,-48.9244794845581",False
83699,Rua Oswaldo Cruz,782,,Centro,65020-250,São Luís,MA,"-2.5308115,-44.2964637",False
83700,Nova Olinda,291,,Centro,63165-000,Nova Olinda (Ceará),CE,"-7.09006500394181,-39.6815228462219",False
83701,Avenida Araújo Pinho,58,,Canela,41110-150,Salvador,BA,"-12.99488,-38.523018",False
83702,Quinta da Boa Vista,s/n,,São Cristóvão,20942-040,Rio de Janeiro,RJ,"-22.905701,-43.226529",False
83703,Universidade Federal da Paraíba - Campus I,s/n,"2º  andar, Biblioteca Central da UFPB",Cidade Universitária,58059-900,João Pessoa,PB,"-7.136472,-34.845607",False
83704,Rua General Rondon,1295,,Centro,68900-911,Macapá,AP,"0.04065155641907437,-51.05443239212036",False
83705,Rua Domênico Fin,s/n,Esquina com Avenida Vêneto,Nova Vicenza,95174-03,Farroupilha,RS,"-29.2165116639185,-51.3465356826782",False
83706,Rua Nelson G. Macedo Filho,s/n,,Centro,35595-000,Luz,MG,"-19.8007122,-45.6769924",False
83707,Alameda Seu João,s/n,Bar do Marcinho,Distrito de Macacos,35740-000,Nova Lima,MG,"-20.036337980644706,-43.94524812698364",False
83708,Rua Capitão Montanha,177,Saguão da Agência Central,Centro Histórico,90010-040,Porto Alegre,RS,"-30.0294819,-51.2323706",False
83709,Praça Doutor Emílio da Silveira,14,,Centro,37130-029,Alfenas,MG,"-21.4250028,-45.9485633",False
83710,Centro Político-administrativo do Estado - BR 364 - km 2,s/n,Alameda Ministro Miguel Ferrante,Portal da Amazônia,69915-632,Rio Branco (Acre),AC,"-10.0116224160901,-67.8017807006836",False
83711,Avenida Universitária,1166,,Setor Universitário,74605-010,Goiânia,GO,"-16.675721,-49.239271",False
83712,Rua São Marcelino Champagnat s/n° - Lagoa,s/n,Espaço Municipal Sergius Erdelyi,Lagoa,83190-000,Tijucas do Sul,PR,"-25.9543017891276,-49.2229020595551",False
83713,Rua José Lourenço Kelmer,s/n,Universidade Federal de Juiz de Fora (Campus UFJF),São Pedro,36036-900,Juiz de Fora,MG,"-21.7670166,-43.3678641",False
83714,Rua Benjamin Constant,790,,Centro,36015-400,Juiz de Fora,MG,"-21.756196,-43.351821",False
83715,Rua Abdias Gomes de Almeida,800,,Tambauzinho,58042-100,João Pessoa,PB,"-7.121669,-34.843822",False
83716,Avenida Fernando Ferrari,514,Universidade Federal do Espírito Santo,Goiabeiras,29075-910,Vitória,ES,"-20.2773742666731,-40.3023952245712",False
83717,Avenida Abdias Gomes de Almeida,800,,Tambauzinho,58042-100,João Pessoa,PB,"-7.121803,-34.843034",False
83718,"Instituto de Ciências Biológicas, Universidade Federal de Juiz de Fora",s/n,Cidade Universitária,Martelos,36036-900,Juiz de Fora,MG,"-21.7765879,-43.370692",False
83719,Parque Dom Pedro II - Avenida Mercúrio,s/n,,Brás,03003-060,São Paulo,SP,"-23.5440124,-46.6276792",False
83720,Rua do Tesouro,s/n,,Centro Histórico,40020-056,Salvador,BA,"-12.9762501,-38.5135383",False
83721,Setor de Administração Federal Sul - SAFS Quadra 04 lote 1,s/n,,Asa Sul,70042-900,Brasília,DF,"-15.803955,-47.862923",False
83722,Rua Jandira Cardeal Figueiredo,80,,Centro,79400-000,Coxim,MS,"-18.50626,-54.761989",False
83723,Praça Santo Antônio,35,,Centro,28390-000,Porciúncula,RJ,"-20.962261154809482,-42.04040765762329",False
83724,Rua Santo Antônio,1112,,Centro,36016-210,Juiz de Fora,MG,"-21.76346,-43.350738",False
83725,Avenida Dom José,878,,Centro,62210-290,Sobral,CE,"-3.687097,-40.346862",False
83727,Rua dos Imigrantes,s/n,,Centro,98850-000,Vitória das Missões,RS,"-28.3504205,-54.4998747",False
83728,Avenida Fernando Corrêa da Costa,559,1º andar,Centro,79002-820,Campo Grande (Mato Grosso do Sul),MS,"-20.501536,-54.615431",False
83730,Rua Nataly Valentini,05,,Do Parque,95170-500,Farroupilha,RS,"-29.2308561987849,-51.3419008255005",False
83731,Rua 14 de julho,20,,Centro Histórico Reviver,65010-510,São Luís,MA,"-2.53174965256079,-44.3048143386841",False
83732,Avenida Professor Alfredo Balena,190,,Santa Efigênia,30130-000,Belo Horizonte,MG,"-19.924463,-43.9292557",False
83733,Avenida Bento Gonçalves,9500,Bloco IV / Prédio 43433 (térreo),Agronomia,91501-970,Porto Alegre,RS,"-30.076484523593,-51.125693321228",False
83734,Rua Tenente Siqueira Campos,s/n,Antigo Matadouro ( prédio Histórico),Alto da Boa Vista,56870-000,Triunfo (Pernambuco),PE,"-7.83979239161343,-38.1039708852768",False
83737,Praça Sete de Julho,180,,Centro,96020-010,Pelotas,RS,"-31.7700728,-52.3427849",False
83738,Avenida Senador Valdon Varjão,6390,UFMT,Loteamento BR-070,78605-091,Barra do Garças,MT,"-15.8779904,-52.3244171",False
