ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
80658,Rua Tomás Gonzaga,167,,Centro,96880-000,Vera Cruz (Rio Grande do Sul),RS,"-29.7118682,-52.5050645",False
80659,Avenida Nove de Julho,106,,Centro,19800-020,Assis,SP,"-22.663299,-50.423058",False
80660,Estrada do Jutuba,s/n,,Colônia Terra nova,84165-970,Castro,PR,"-24.78957,-50.011253",False
80661,Rua Santa Clara do Ingaí,s/n,,Centro,98230-000,Quinze de Novembro,RS,"-28.747039,-53.101624",False
80662,Rua Comendador João Vaz,s/n,,Centro,12530-000,Cunha,SP,"-23.074819,-44.959553",False
80663,Avenida Sete de Setembro,237,Prédio do Relógio,Centro,76801-096,Porto Velho,RO,"-8.765807,-63.907832",False
80664,Avenida Luiz Xavier,68,Conjunto 1618 - Galeria Tijucas,Não Informado,80020-904,Curitiba,PR,"-25.432052,-49.274333",False
80665,Rua Gregório de Matos,27,,Pelourinho,40025-060,Salvador,BA,"-12.929424,-38.507413",False
80666,Rua São José,242,,Centro,63010-450,Juazeiro do Norte,CE,"-7.198966,-39.317984",False
80667,Rua das Palmeiras,s/n,,Colônia Castrolanda,86196-200,Castro,PR,"-24.78957,-50.011253",False
80668,Rua Paissandú,889,,Centro,99010-100,Passo Fundo,RS,"-28.246357,-52.389",False
80669,Avenida da Universidade,2854,MAUC,Benfica,60020-181,Fortaleza,CE,"-3.7410466,-38.5397165",False
80670,Calçadão Tapir Rocha,49,,Centro,94499-970,Viamão,RS,"-30.081984,-51.025548",False
80671,Praça Farias Neves,s/n,,Dois Irmãos,52171-011,Recife,PE,"-8.010713,-34.94723",False
80672,Rua do Imperador,s/n,,Santo Antônio,50010-240,Recife,PE,"-8.065394,-34.876979",False
80673,Alameda 2 - Bloco L,s/n,Condomínio Ipem Bequimão,Bequimão,65060-490,São Luís,MA,"-2.531731,-44.247582",False
80674,Rua Augusto Severo,444,,Centro,59500-000,Macau,RN,"-5.117513,-36.63237",False
80675,Rodovia BA 698 - km 10,s/n,,Não Informado,45920-000,Nova Viçosa,BA,"-17.9008502,-39.371702",False
80676,Rua da Aparecida,118,,Alto da Aparecida,37890-000,Muzambinho,MG,"-21.369635,-46.521745",False
80677,Avenida República,121,,Centro,29010-700,Vitória,ES,"-20.3208392973683,-40.3414213657379",False
80678,Vila Ferroviária,s/n,,Centro,56903-170,Serra Talhada,PE,"-7.982188,-38.289385",False
80679,Praça da Bandeira,122,,Centro,13250-329,Itatiba,SP,"-23.0057992022134,-46.8402904272079",False
80680,Rua Monsenhor Pascoal Libreloto,3,Centro,Distrito de Conservatória,27655-000,Valença (Rio de Janeiro),RJ,"-22.2913109,-43.9273592",False
80681,Rua Doutor Isaias Aranda,s/n,,Centro,57230-000,Coruripe,AL,"-10.128777,-36.1749",False
80682,Rua Francisco Pereira,2125,,Centro,38680-000,Arinos,MG,"-15.9058614,-46.0955225",False
80684,Avenida Brasil,56,,Centro,15385-000,Ilha Solteira,SP,"-20.428716,-51.345857",False
80685,Rua Caripunas,1883,,Batista Campos,66033-330,Belém (Pará),PA,"-1.455752,-48.490186",False
80686,Rua Rodrigo Soares de Oliveira,s/n,,Anhangabaú,13200-000,Jundiaí,SP,"-23.191472,-46.894445",False
80687,Avenida Navarro de Andrade,120,,Vila Bandeirantes,13214-010,Jundiaí,SP,"-23.202753,-46.85135",False
80688,Praça XV de Junho,172,,Centro,12620-000,Piquete,SP,"-22.60737,-45.187357",False
80689,Avenida Leonel de Moura Brizola,s/n,,Praia dos Anjos,28930-000,Arraial do Cabo,RJ,"-22.96817316181671,-42.02178239822387",False
80690,Rua Luís de Camões,68,Praça Tiradentes,Centro,22260-006,Rio de Janeiro,RJ,"-22.905742896932612,-43.18333983421326",False
80691,Avenida Presidente Vargas,531,,Centro,29260-000,Domingos Martins,ES,"-20.363593,-40.657948",False
80692,Rua Alpheu Corrêa Pimentel,380,,Carapina Grande,29176-431,Serra,ES,"-20.2170192375139,-40.2872514724731",False
80693,Rua Nívio Castellano,650,,Centro,95300-000,Lagoa Vermelha,RS,"-28.208167,-51.526575",False
80694,Praça Doutor Antônio Teodoro de Lima,s/n,,Castelo,14300-000,Batatais,SP,"-20.888282,-47.602701",False
80695,Avenida Morumbi,4500,,Morumbi,05650-905,São Paulo,SP,"-23.603805,-46.712258",False
80696,Rua Rage Maluf,101,Próximo à Câmara Municipal,Jardim Santa Cândida/Centro,13190-027,Monte Mor,SP,"-22.948567,-47.3112882",False
80697,Avenida 20 de Setembro,3675,A,Centro,93800-000,Sapiranga,RS,"-29.636227,-51.00861",False
80698,Rua Gonçalves Dias,1608,,Lourdes,30140-092,Belo Horizonte,MG,"-19.9304738,-43.9398843",False
80699,Avenida 7 de Setembro,237,"Secretaria de Esportes, Cultura e Lazer de Rondônia - Secel (Prédio do Relógio)",Centro,78900-000,Porto Velho,RO,"-8.765807,-63.907832",False
80700,Rua 12 de Outubro,20,,Centro,13270-005,Valinhos,SP,"-22.9676645,-46.9937094",False
80701,Avenida Leandro de Almeida,615,,Centro,96750-000,Butiá,RS,"-30.119934,-51.969422",False
80702,"Rodovia Dourados-Itanhum, km 12",s/n,Universidade Federal da Grande Dourados Faculdade de Ciências Biológicas e Ambientais- FCBA,Cidade Universitária,79804-970,Dourados,MS,"-22.196219,-54.930187",False
