ID,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
82007,Museu Histórico de Bento Fernandes,- NÃO INFORMADA -,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RN,Bento Fernandes,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82007
82008,Centro de Memória do Ministério Público Militar - CMMPM,PÚBLICA – Federal,Aberto,Clássico/Tradicional,História,DF,Brasília,http://www.mpm.mp.br/cmmpm-centro-de-memoria/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82008
82009,Museu do Presépio José Gomes Filho - Zé Gominho,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",MG,Itapecerica,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82009
82010,Centro de Memória da Justiça Eleitoral de Minas Gerais,PÚBLICA – Federal,Fechado,Clássico/Tradicional,História,MG,Belo Horizonte,http://www.tre-mg.jus.br/institucional/memoria-eleitoral/centro-de-memoria-TRE-MG,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82010
82011,Centro de Divulgação Científica e Cultural da Universidade de São Paulo,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",SP,São Carlos (São Paulo),https://cdcc.usp.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82011
82012,Museu de Arte e Cultura Populares (Centro de Turismo),PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",CE,Fortaleza,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82012
82013,Museu da Bíblia - Mubi,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,SP,Barueri,https://www.museudabiblia.org.br/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82013
82014,Museu Rural Cantina Antonio Patel,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,SC,Porto União,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82014
82015,Museu Tropeiro Velho,PARTICULAR,Aberto,Clássico/Tradicional,História,SC,Chapecó,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82015
82016,Museu de Ciências da Universidade de São Paulo,PÚBLICA – Estadual/Distrital,Fechado,Clássico/Tradicional,"Ciências exatas, da terra, biológicas e da saúde",SP,São Paulo,http://www.museudeciencias.usp.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82016
82017,Centro Cultural Banco do Brasil São Paulo,MISTA,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",SP,São Paulo,http://www.bb.com.br/cultura,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82017
82018,Museu Manoel da Marinheira,PARTICULAR,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",AL,Boca da Mata,http://www.aguasdesaobento.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82018
82019,Museu Histórico Visconde de São Leopoldo,PRIVADA – Não informada,Aberto,Clássico/Tradicional,História,RS,São Leopoldo,http://www.museuhistoricosl.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82019
82020,Casa de Cultura Roberto Carlos,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,ES,Cachoeiro de Itapemirim,http://www.cachoeiro.es.gov.br/site1.php?pag_site=CULTURA&amp;subPagina=SECRETARIA&amp;setor=SEMCULT,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82020
82021,Museu Internacional do Presépio (Associação São Tiago Maior),PRIVADA – Associação,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",RO,Porto Velho,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82021
82022,Museu de Geociências,PRIVADA – Não informada,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,BA,Cachoeira,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82022
